  -4.1200  0.2450553E-21  0.1422349E+03
  -4.1100  0.1024012E-20  0.1512516E+03
  -4.1000  0.4194309E-20  0.1612121E+03
  -4.0900  0.1683952E-19  0.1722197E+03
  -4.0800  0.6626942E-19  0.1843774E+03
  -4.0700  0.2556293E-18  0.1977794E+03
  -4.0600  0.9665456E-18  0.2124989E+03
  -4.0500  0.3582186E-17  0.2285726E+03
  -4.0400  0.1301332E-16  0.2459801E+03
  -4.0300  0.4633850E-16  0.2646247E+03
  -4.0200  0.1617373E-15  0.2843184E+03
  -4.0100  0.5533403E-15  0.3047795E+03
  -4.0000  0.1855618E-14  0.3256479E+03
  -3.9900  0.6099568E-14  0.3465195E+03
  -3.9800  0.1965276E-13  0.3669909E+03
  -3.9700  0.6206722E-13  0.3867017E+03
  -3.9600  0.1921388E-12  0.4053620E+03
  -3.9500  0.5830179E-12  0.4227660E+03
  -3.9400  0.1734055E-11  0.4387979E+03
  -3.9300  0.5055429E-11  0.4534360E+03
  -3.9200  0.1444665E-10  0.4667502E+03
  -3.9100  0.4046602E-10  0.4788770E+03
  -3.9000  0.1111036E-09  0.4899691E+03
  -3.8900  0.2990057E-09  0.5001384E+03
  -3.8800  0.7887604E-09  0.5094226E+03
  -3.8700  0.2039506E-08  0.5177987E+03
  -3.8600  0.5169145E-08  0.5252347E+03
  -3.8500  0.1284182E-07  0.5317514E+03
  -3.8400  0.3127151E-07  0.5374580E+03
  -3.8300  0.7464230E-07  0.5425449E+03
  -3.8200  0.1746366E-06  0.5472402E+03
  -3.8100  0.4004974E-06  0.5517585E+03
  -3.8000  0.9002814E-06  0.5562572E+03
  -3.7900  0.1983677E-05  0.5608084E+03
  -3.7800  0.4284278E-05  0.5653797E+03
  -3.7700  0.9069817E-05  0.5698291E+03
  -3.7600  0.1882060E-04  0.5739290E+03
  -3.7500  0.3828094E-04  0.5774262E+03
  -3.7400  0.7632130E-04  0.5801243E+03
  -3.7300  0.1491499E-03  0.5819572E+03
  -3.7200  0.2857028E-03  0.5830265E+03
  -3.7100  0.5364386E-03  0.5835935E+03
  -3.7000  0.9872784E-03  0.5840354E+03
  -3.6900  0.1781039E-02  0.5847775E+03
  -3.6800  0.3149352E-02  0.5862055E+03
  -3.6700  0.5458624E-02  0.5885666E+03
  -3.6600  0.9273833E-02  0.5918828E+03
  -3.6500  0.1544363E-01  0.5959086E+03
  -3.6400  0.2520889E-01  0.6001656E+03
  -3.6300  0.4033408E-01  0.6040575E+03
  -3.6200  0.6325643E-01  0.6070351E+03
  -3.6100  0.9724143E-01  0.6087489E+03
  -3.6000  0.1465251E+00  0.6091307E+03
